,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
1911-12-01,90555.139,,37674,54.9,85.2,,49,68.1,,50.8,46.5,83.7,51.1,51.3,,,,,,,,,,,,,,,,,,,
1912-01-01,26949.297,26744.619,11322,3,0,,3,2.6,,4.3,4.1,13.3,1.8,0,,,,,,,,,,,,,,,,,,,
1912-02-01,5009.883,,7761,14.1,31.6,,30.4,34.5,,26.9,12.7,40.3,10.8,0,,,,,,,,,,,,,,,,,,,
1912-03-01,13845.188,,7131,20.6,50.8,,12,23,,29.7,6.7,19.7,11,0,,,,,,,,,,,,,,,,,,,
1912-04-01,24396.269,,8151,10.9,19.3,,7.4,11.4,,9.1,5.5,2.8,10.5,0,,,,,,,,,,,,,,,,,,,
1912-05-01,9826.016,,9796,7.1,20.8,,4.6,5.8,,1.3,1,1.5,0,0,,,,,,,,,,,,,,,,,,,
1912-06-01,34563.161,44107.6,19572,77.4,163.4,,51.9,77.1,,46.5,39.6,73.3,48.3,0,,,,,,,,,,,,,,,,,,,
1912-07-01,396321.107,313977.873,94024,140.3,230,,96.4,145.8,,93.7,71.1,143.2,82.1,0,,,,,,,,,,,,,,,,,,,
1912-08-01,370483.768,297557.406,95690,76.2,147.9,,70.7,86.4,,59.7,55.7,115.4,45.4,0,,,,,,,,,,,,,,,,,,,
1912-09-01,806572.465,626218.088,301510,66.1,174.1,,47.1,53.6,,33.3,30.1,60.8,21.5,0,,,,,,,,,,,,,,,,,,,
1912-10-01,260400.757,311627.009,127890,33.2,63.8,,39.6,30.8,,22.4,24,33.6,30.8,0,,,,,,,,,,,,,,,,,,,
